PipelineID,Category,StartDate,EndDate,SLA_Target_Hrs,Status
P001,ADF,2026-06-06 03:00:00,2026-06-06 10:32:41.027,9.0,Completed
P002,Fabric,2026-06-06 23:00:00,2026-06-07 05:06:34.844,5.5,Completed
P003,Synapse,2026-06-05 19:00:00,2026-06-06 00:49:54.581,8.9,Completed
P004,Synapse,2026-06-02 14:30:00,2026-06-02 22:41:22.522,6.5,Completed
P005,Synapse,2026-06-03 08:15:00,2026-06-03 10:47:43.731,3.9,Completed
P006,Databricks,2026-06-01 11:30:00,2026-06-01 17:44:07.430,9.4,Completed
P007,SQL,2026-06-01 12:00:00,2026-06-01 17:44:39.790,8.6,Completed
P008,ADF,2026-06-05 06:00:00,2026-06-05 06:56:07.194,2.8,Completed
P009,Fabric,2026-06-07 07:00:00,2026-06-07 11:06:40.317,7.6,Completed
P010,ADF,2026-06-03 11:15:00,2026-06-03 18:06:59.991,9.9,Completed
P011,SQL,2026-06-05 20:15:00,2026-06-06 01:49:27.584,8.0,Completed
P012,Fabric,2026-06-06 22:15:00,2026-06-07 05:15:13.807,10.3,Completed
P013,Databricks,2026-06-07 01:30:00,2026-06-07 05:48:39.836,2.4,Completed
P014,Synapse,2026-06-06 10:15:00,2026-06-06 16:58:36.002,10.5,Completed
P015,Databricks,2026-06-02 08:15:00,2026-06-02 11:05:34.661,4.6,Completed
P016,Synapse,2026-06-04 18:45:00,2026-06-04 22:41:20.278,5.4,Completed
P017,Databricks,2026-06-01 01:00:00,2026-06-01 02:57:07.173,1.0,Completed
P018,Databricks,2026-06-01 12:45:00,2026-06-01 18:54:39.384,7.9,Completed
P019,SQL,2026-06-07 00:00:00,2026-06-07 06:58:34.495,8.8,Completed
P020,SQL,2026-06-01 09:45:00,2026-06-01 11:45:08.995,1.0,Completed
P021,Databricks,2026-06-05 05:00:00,2026-06-05 13:46:11.735,11.7,Completed
P022,Databricks,2026-06-02 04:30:00,2026-06-02 12:14:37.869,11.1,Completed
P023,SQL,2026-06-01 19:30:00,2026-06-02 00:38:30.315,4.1,Completed
P024,Synapse,2026-06-02 01:15:00,2026-06-02 10:05:27.928,10.1,Completed
P025,SQL,2026-06-07 02:15:00,2026-06-07 03:58:10.988,4.4,Completed
P026,Fabric,2026-06-05 19:45:00,2026-06-06 05:24:41.211,12.9,Completed
P027,Databricks,2026-06-06 09:45:00,2026-06-06 19:42:14.108,12.3,Completed
P028,Fabric,2026-06-04 03:15:00,2026-06-04 05:53:04.649,5.4,Completed
P029,ADF,2026-06-05 07:00:00,2026-06-05 08:10:27.964,2.9,Completed
P030,Databricks,2026-06-07 10:00:00,2026-06-07 15:23:04.139,7.8,Completed
P031,ADF,2026-06-02 23:45:00,2026-06-03 02:33:30.506,5.0,Completed
